Timestamp,Session_Id,Brick_Count,Attempts,Level_Number,Collectibles,DeathByEnemy,DeathByFall,TimeTaken
10/21/2022 23:31:20,"6,38,01,99,18,79,27,20,000.00",2,3,1,2,1,1,31.377
10/21/2022 23:31:40,"6,38,01,99,18,99,49,00,000.00",2,1,2,4,0,0,18.985
10/21/2022 23:33:56,"6,38,01,99,20,35,45,60,000.00",2,1,1,3,0,0,42.754
10/21/2022 23:35:22,"6,38,01,99,21,21,41,40,000.00",2,9,2,5,1,7,68.957
10/21/2022 23:36:22,"6,38,01,99,21,81,67,30,000.00",2,6,2,6,2,3,57.559
10/21/2022 23:39:24,"6,38,01,99,23,63,28,80,000.00",6,17,3,4,0,16,179.39
10/21/2022 23:46:20,"6,38,01,99,27,79,19,00,000.00",1,3,2,6,1,1,38.6
10/22/2022 1:31:43,"6,38,01,99,91,02,00,80,000.00",2,8,1,2,0,7,47.795
10/22/2022 1:32:26,"6,38,01,99,91,45,95,80,000.00",0,11,2,3,2,8,41.407
10/22/2022 1:32:57,"6,38,01,99,91,76,62,40,000.00",0,8,2,4,2,5,25.191
10/22/2022 8:18:27,"6,38,02,02,35,06,66,80,000.00",2,3,1,3,0,2,23.547
10/22/2022 12:04:20,"6,38,02,03,70,58,34,60,000.00",6,6,1,3,3,2,72.548
10/22/2022 12:09:48,"6,38,02,03,73,86,39,70,000.00",1,10,2,5,0,9,326.96
10/22/2022 12:10:40,"6,38,02,03,74,38,55,60,000.00",2,2,2,7,0,1,37.721
10/22/2022 12:13:49,"6,38,02,03,76,27,43,50,000.00",4,10,3,5,1,8,186.948
10/22/2022 12:24:26,"6,38,02,03,82,65,44,00,000.00",2,8,1,3,4,3,237.659
10/22/2022 12:31:20,"6,38,02,03,86,79,66,00,000.00",2,25,2,5,0,24,413.189
10/22/2022 12:31:44,"6,38,02,03,87,04,15,90,000.00",2,2,1,3,0,1,20.483
10/22/2022 12:33:08,"6,38,02,03,87,87,26,10,000.00",4,6,1,3,2,3,35.721
10/22/2022 12:33:28,"6,38,02,03,88,07,89,30,000.00",1,6,3,4,0,5,100.184
10/22/2022 12:34:20,"6,38,02,03,88,59,39,20,000.00",2,7,2,8,2,4,71.186
10/22/2022 14:48:50,"6,38,02,05,41,28,41,30,000.00",2,39,3,1,3,35,69351.535
10/22/2022 14:55:13,"6,38,02,04,73,12,04,00,000.00",2,10,1,2,4,5,44.225
10/22/2022 15:56:27,"6,38,02,05,09,86,31,60,000.00",2,3,1,3,0,2,62.564
10/22/2022 15:58:48,"6,38,02,05,11,27,26,50,000.00",2,11,2,3,2,8,130.546
10/22/2022 16:09:03,"6,38,02,05,17,42,24,10,000.00",2,12,1,3,2,9,78.39
